id,channel_acq,num_past_purch,spent_last_purchase,weeks_since_visit,browsing_minutes,shopping_cart
66,1,0,0,6,15,0
67,2,0,0,4,2,0
68,3,0,0,5,7,1
69,4,0,0,5,24,0
70,1,4,173.97,6,18,1
71,1,0,0,1,20,0
72,4,1,141.98,6,9,1
73,2,0,0,5,5,0
74,1,0,0,2,6,0
75,2,6,218.97,4,20,0
76,2,0,0,1,13,0
77,4,0,0,3,26,1
78,2,4,57.99,7,8,0
79,1,2,51.99,0,4,1
80,1,0,0,3,1,0
81,2,2,67.49,0,17,0
82,1,2,59.49,0,14,1
83,1,0,0,0,16,0
84,1,4,62.99,0,7,0
85,4,1,83.99,5,20,1
86,1,0,0,6,1,0
87,1,4,154.98,2,15,0
88,3,1,68.99,5,10,0
89,3,0,0,5,19,0
90,3,2,52.99,0,14,0
91,3,1,55.99,1,15,0
92,3,2,139.98,3,15,0
93,1,1,62.99,4,16,0
94,2,2,43.99,1,22,0
95,3,1,155.98,5,16,0
96,3,1,56.99,1,14,0
97,1,5,63.99,4,21,0
98,1,0,0,0,21,1
99,3,0,0,7,14,0
100,1,2,55.99,0,3,1
101,1,8,86.98,0,20,0
102,1,0,0,0,13,0
103,1,0,0,6,4,1
104,4,5,172.47,1,18,1
105,3,0,0,2,14,0
106,2,9,46.99,0,10,0
107,3,5,134.97,5,15,0
108,1,2,59.99,2,8,0
109,1,0,0,4,5,0
110,2,0,0,1,16,0
111,5,4,57.99,0,1,0
112,1,1,56.49,2,18,0
113,1,0,0,2,2,0
114,4,2,56.99,2,15,0
115,1,3,64.49,1,16,1
116,4,0,0,1,1,0
117,1,1,65.49,5,24,0
118,2,1,61.99,5,21,0
119,3,0,0,5,19,0
120,2,4,61.49,5,10,0
121,1,1,236.97,3,7,1
122,2,0,0,5,21,0
123,3,0,0,0,16,0
124,2,2,51.99,0,12,0
125,1,2,54.99,3,15,0
126,1,4,135.98,2,16,0
127,3,1,61.49,1,15,1
128,1,4,55.99,0,15,0
129,2,8,54.99,1,16,0
130,1,0,0,1,5,0
131,1,12,52.99,1,22,0
132,2,2,50.99,5,18,0
133,1,4,44.99,1,16,0
134,3,0,0,7,11,1
135,1,4,166.47,5,18,0
136,3,2,63.99,4,11,0
137,2,1,66.99,3,20,0
138,3,1,51.49,1,11,0
139,1,1,154.47,4,4,0
140,2,1,230.97,5,1,0
141,2,5,64.99,5,20,0
142,2,3,55.99,0,9,0
143,2,0,0,0,2,1
144,2,2,66.99,1,19,0
145,1,5,77.49,1,12,1
146,3,1,46.99,6,19,1
147,1,0,0,4,19,0
148,3,0,0,3,12,1
149,3,1,56.49,2,19,0
150,3,3,75.98,2,14,1
151,1,0,0,2,18,0
152,1,0,0,5,5,1
153,1,0,0,2,3,0
154,4,0,0,2,17,1
155,2,1,60.99,2,17,0
156,3,1,129.98,5,25,1
157,1,0,0,5,7,0
158,1,2,107.98,4,9,1
159,1,0,0,1,10,1
160,2,7,128.98,4,7,0
161,2,1,62.49,7,14,1
162,2,4,46.99,5,16,0
163,3,3,49.99,1,23,1
164,3,0,0,6,26,0
165,2,2,65.99,4,22,0
166,1,0,0,1,17,0
167,5,0,0,6,11,0
168,1,1,72.99,3,7,0
169,4,0,0,1,14,0
170,1,4,97.98,1,14,0
171,2,4,75.99,3,25,1
172,1,1,49.99,3,10,1
173,2,6,125.97,5,23,0
174,1,3,80.49,0,20,0
175,3,4,64.49,7,16,0
176,5,4,83.49,7,11,1
177,1,1,68.99,4,10,0
178,1,2,62.99,5,1,0
179,2,4,48.99,4,21,0
180,2,0,0,1,5,0
181,3,3,63.99,5,8,0
182,3,0,0,7,8,1
183,1,0,0,2,21,0
184,3,0,0,6,19,0
185,3,1,170.97,1,6,1
186,3,1,70.49,6,21,0
187,1,4,57.99,5,16,1
188,1,1,58.49,4,19,0
189,3,8,52.99,6,22,0
190,1,5,203.97,4,1,1
191,3,0,0,5,6,0
192,1,2,42.49,5,27,0
193,3,11,59.99,1,23,0
194,4,2,215.97,1,22,1
195,1,1,68.99,4,26,0
196,2,1,56.99,5,23,0
197,3,7,57.99,3,22,0
198,1,0,0,0,23,0
199,2,1,58.49,4,13,1
200,3,1,55.99,4,9,0
201,2,0,0,0,3,0
202,3,0,0,0,18,0
203,2,0,0,7,10,1
204,1,0,0,6,2,0
205,3,1,65.99,0,8,0
206,2,4,49.99,2,3,0
207,3,2,56.99,3,15,1
208,1,1,50.49,2,1,1
209,2,1,95.98,5,14,0
210,2,0,0,3,13,0
211,1,3,131.98,5,14,1
212,1,2,55.99,0,25,1
213,1,1,70.49,6,19,0
214,1,4,65.99,7,16,0
215,2,1,61.99,2,18,1
216,4,1,106.98,2,3,0
217,1,0,0,5,23,0
218,1,3,53.99,5,2,1
219,2,1,58.49,1,8,0
220,3,0,0,7,11,1
221,1,8,124.98,0,1,0
222,1,4,61.99,4,13,0
223,2,0,0,1,1,0
224,3,1,68.49,2,20,0
225,1,1,67.99,7,23,0
226,2,0,0,2,2,0
227,1,0,0,4,15,0
228,2,0,0,3,2,0
229,3,0,0,2,14,1
230,3,6,68.99,2,21,0
231,2,0,0,4,23,1
232,1,0,0,4,15,0
233,1,1,125.98,6,9,1
234,4,1,71.99,2,16,0
235,3,0,0,2,12,0
236,1,1,49.99,1,15,0
237,3,2,102.98,6,15,0
238,2,1,73.99,0,13,0
239,2,4,59.49,5,1,0
240,2,4,44.99,6,15,0
241,1,0,0,4,26,1
242,3,9,70.49,1,19,1
243,2,4,59.99,5,16,0
244,1,1,74.99,6,9,0
245,3,3,61.99,2,29,1
246,3,0,0,5,23,0
247,1,4,119.98,5,26,0
248,1,0,0,1,4,0
249,1,3,68.49,0,10,1
250,5,1,59.99,6,11,0
251,2,5,59.49,3,20,0
252,1,0,0,7,19,0
253,1,1,159.98,1,13,0
254,2,1,130.98,3,12,0
255,2,0,0,0,21,1
256,2,4,72.99,4,17,0
257,1,0,0,0,14,0
258,1,0,0,4,18,1
259,3,1,62.49,0,15,0
260,1,3,45.49,5,18,0
261,1,2,105.98,5,2,0
262,1,0,0,2,16,0
263,2,0,0,1,16,0
264,1,3,59.49,1,16,1
265,1,0,0,6,17,0
266,1,0,0,0,15,0
267,3,3,170.97,6,26,1
268,3,7,65.99,2,13,0
269,1,1,66.99,6,18,0
270,2,1,78.49,5,10,0
271,3,2,182.97,0,4,1
272,1,0,0,7,7,0
273,1,2,147.98,1,11,1
274,2,1,50.99,5,23,0
275,3,1,53.49,5,23,0
276,2,4,58.49,7,9,1
277,1,7,57.99,0,8,1
278,2,4,61.99,3,19,0
279,1,9,54.49,2,13,0
280,2,0,0,4,8,0
281,1,1,67.99,4,17,0
282,3,3,60.99,3,17,1
283,2,0,0,3,13,0
284,1,0,0,6,22,0
285,4,0,0,1,14,0
286,3,0,0,3,18,0
287,3,0,0,6,21,0
288,2,0,0,7,16,0
289,3,2,52.99,1,24,0
290,1,4,73.49,6,2,0
291,1,3,71.49,4,24,1
292,1,1,58.49,6,15,0
293,2,1,71.49,6,18,0
294,3,0,0,0,24,0
295,3,1,47.49,0,4,1
296,3,0,0,1,15,0
297,1,3,56.99,6,10,1
298,1,2,50.49,2,27,0
299,2,3,68.99,3,5,1
300,3,3,56.99,1,13,1
301,5,0,0,3,1,0
302,1,0,0,0,12,0
303,1,2,49.99,2,9,1
304,1,0,0,7,23,0
305,3,0,0,6,9,0
306,3,0,0,1,21,0
307,3,1,63.99,1,5,0
308,3,1,64.49,2,16,1
309,3,3,56.99,4,7,0
310,3,0,0,0,11,1
311,3,0,0,4,17,0
312,3,0,0,1,15,0
313,2,5,69.49,6,18,0
314,3,1,64.49,5,24,0
315,5,1,58.99,2,22,0
316,1,0,0,6,18,1
317,1,0,0,4,17,0
318,3,3,107.98,5,19,0
319,3,0,0,4,12,0
320,1,0,0,4,17,0
321,2,6,225.96,5,1,0
322,1,0,0,4,12,1
323,1,0,0,5,7,0
324,1,2,43.99,0,20,0
325,1,0,0,1,11,0
326,3,0,0,2,13,1
327,1,6,54.99,0,22,0
328,2,1,67.99,4,12,1
329,1,0,0,0,18,0
330,2,0,0,6,15,0
331,1,5,66.49,1,7,1
332,1,1,199.47,5,13,1
333,1,2,57.49,1,9,0
334,3,0,0,0,19,1
335,1,2,45.99,2,19,0
336,1,10,52.99,7,19,1
337,2,8,172.47,1,21,0
338,1,3,229.47,0,10,0
339,3,0,0,1,12,1
340,4,5,106.98,2,16,1
341,3,3,56.49,6,20,0
342,2,0,0,0,6,0
343,2,11,46.99,4,24,0
344,3,0,0,5,17,0
345,1,4,60.99,1,20,0
346,3,1,125.97,7,13,0
347,1,1,73.49,1,5,0
348,4,3,48.49,1,20,1
349,4,2,173.97,4,13,0
350,1,0,0,0,1,1
351,2,2,133.98,1,19,1
352,1,9,63.99,4,18,0
353,1,2,53.49,3,12,0
354,2,1,129.98,2,8,0
355,3,3,141.98,3,18,0
356,1,1,67.49,5,9,1
357,2,2,49.49,2,18,0
358,3,0,0,4,6,1
359,2,1,71.98,0,13,1
360,1,1,200.97,2,13,0
361,2,4,74.99,2,23,0
362,3,1,51.99,4,21,0
363,3,1,147.98,1,19,0
364,3,0,0,6,17,0
365,2,1,62.99,6,2,0
366,3,1,87.99,0,16,1
367,1,1,153.98,3,10,1
368,1,1,71.49,6,16,0
369,3,1,68.99,3,11,0
370,1,3,227.97,7,20,0
371,2,1,78.99,3,5,1
372,5,2,65.99,2,20,0
373,1,1,148.47,4,11,0
374,1,1,72.99,6,11,1
375,3,1,60.49,3,3,0
376,3,5,66.49,2,24,0
377,1,5,188.97,6,5,0
378,3,0,0,6,20,0
379,3,0,0,1,25,0
380,2,2,61.99,3,15,0
381,1,1,48.49,1,2,0
382,3,6,80.99,0,17,0
383,2,1,156.98,4,3,1
384,1,0,0,4,20,0
385,1,5,60.49,6,15,0
386,3,1,78.99,1,28,1
387,1,0,0,3,27,0
388,3,2,46.99,6,19,0
389,1,1,83.49,4,16,0
390,3,2,89.98,1,22,0
391,2,0,0,5,12,0
392,5,2,167.97,4,4,1
393,1,0,0,5,21,0
394,3,6,55.99,0,19,0
395,3,2,117.98,5,21,1
396,4,4,101.98,5,6,0
397,1,7,77.49,6,18,0
398,3,2,73.99,2,5,0
399,5,0,0,3,25,0
400,2,0,0,5,7,0
401,1,2,68.49,0,23,0
402,2,0,0,7,10,0
403,1,1,41.49,2,16,0
404,3,2,64.99,1,11,0
405,1,0,0,2,12,0
406,1,5,46.99,1,1,1
407,3,2,72.99,5,30,0
408,1,5,71.99,7,21,0
409,3,1,190.47,2,25,0
410,3,0,0,7,13,0
411,2,0,0,5,22,0
412,1,8,146.97,3,10,0
413,1,0,0,5,11,0
414,1,0,0,0,8,1
415,1,0,0,7,14,0
416,2,1,48.49,3,27,0
417,5,9,66.49,3,25,1
418,4,0,0,2,11,0
419,3,5,60.99,4,19,0
420,3,1,68.99,4,18,0
421,3,0,0,0,4,1
422,2,1,61.99,4,25,0
423,3,1,67.99,4,13,0
424,2,5,57.49,3,21,1
425,4,2,191.97,2,9,0
426,3,3,233.97,0,17,1
427,1,1,43.99,2,9,0
428,5,0,0,4,11,1
429,3,0,0,2,16,1
430,3,0,0,0,9,0
431,1,1,59.49,4,10,0
432,1,1,58.99,0,11,0
433,4,0,0,2,24,0
434,1,0,0,4,1,0
435,1,1,70.99,3,25,0
436,2,3,155.98,6,24,1
437,2,5,148.98,2,10,1
438,1,1,52.99,2,21,0
439,1,0,0,7,9,1
440,3,0,0,4,20,0
441,1,1,74.99,2,15,1
442,1,0,0,5,12,0
443,2,1,111.98,1,8,0
444,1,1,69.49,4,2,1
445,3,0,0,2,1,0
446,1,0,0,3,5,1
447,2,0,0,4,20,0
448,2,0,0,0,16,0
449,3,0,0,4,13,0
450,2,8,65.99,2,17,1
451,2,1,55.99,3,13,1
452,1,0,0,0,2,1
453,3,2,34.49,3,9,0
454,2,0,0,5,13,0
455,4,4,69.49,5,16,1
456,1,4,140.98,4,5,1
457,2,2,72.49,4,4,0
458,1,0,0,7,16,0
459,5,0,0,4,15,1
460,1,0,0,2,23,0
461,1,2,141.98,0,22,0
462,2,1,65.99,5,2,0
463,3,2,60.99,6,16,1
464,1,4,55.99,1,7,0
465,1,0,0,0,19,1
466,1,10,46.49,4,15,0
467,3,1,47.99,7,18,1
468,3,0,0,1,29,1
469,1,2,110.98,1,4,1
470,4,4,64.99,5,22,0
471,3,0,0,0,23,0
472,1,4,72.99,7,19,0
473,3,6,61.99,5,11,1
474,1,1,52.49,0,17,0
475,3,1,55.99,1,24,0
476,3,0,0,3,16,0
477,1,0,0,4,6,1
478,2,0,0,6,18,0
479,3,13,50.49,0,8,0
480,1,2,68.99,5,14,0
481,3,13,93.98,1,19,0
482,3,4,62.99,6,13,1
483,3,7,121.47,0,17,0
484,1,2,125.98,6,13,0
485,1,0,0,1,18,0
486,1,3,73.99,4,25,0
487,3,3,64.99,5,2,1
488,2,2,77.99,0,16,1
489,1,0,0,4,1,1
490,1,0,0,2,23,1
491,2,5,79.99,0,22,0
492,1,8,191.97,2,21,0
493,1,12,62.99,7,14,0
494,3,5,49.99,5,13,0
495,1,2,99.98,7,20,0
496,1,3,176.97,0,9,1
497,1,0,0,0,16,0
498,3,0,0,5,26,0
499,3,0,0,0,2,0
500,2,3,42.49,2,16,1
501,1,9,72.99,5,8,1
502,3,2,61.49,4,20,1
503,3,3,57.99,3,21,1
504,2,0,0,4,24,0
505,1,1,70.49,3,16,1
506,3,3,65.99,1,25,0
507,3,3,116.97,2,14,0
508,1,5,111.98,1,10,0
509,2,2,87.98,1,6,0
510,4,0,0,6,1,1
511,1,0,0,3,17,0
512,1,0,0,2,6,1
513,2,4,59.99,2,21,0
514,5,5,72.99,4,14,0
515,5,3,63.99,4,4,1
516,3,2,66.99,5,22,0
517,2,0,0,0,18,1
518,3,8,67.99,6,27,1
519,1,0,0,7,6,0
520,3,2,159.98,5,3,1
521,3,0,0,0,16,1
522,1,1,79.98,0,22,0
523,2,1,99.98,6,15,1
524,3,0,0,0,9,0
525,1,0,0,4,23,1
526,1,0,0,0,12,0
527,3,2,67.99,4,18,0
528,1,6,131.98,4,3,0
529,2,1,59.49,6,12,1
530,3,3,54.99,4,24,0
531,1,6,130.47,6,12,0
532,2,1,121.98,2,15,0
533,2,0,0,7,21,0
534,2,6,61.99,0,12,1
535,2,3,56.99,1,22,0
536,3,0,0,2,24,1
537,1,2,59.99,7,4,1
538,3,1,60.49,0,16,0
539,3,0,0,0,13,0
540,3,1,149.98,6,21,0
541,3,3,67.99,5,12,1
542,3,4,59.99,4,18,0
543,2,1,58.99,1,25,0
544,3,4,38.99,0,14,0
545,3,1,60.99,5,30,0
546,2,3,54.99,1,6,1
547,1,0,0,5,11,0
548,3,1,72.49,0,16,0
549,2,1,59.49,5,17,0
550,1,1,68.49,4,2,0
551,4,0,0,1,15,0
552,4,0,0,1,12,0
553,3,0,0,6,17,0
554,1,5,64.49,6,19,0
555,1,1,71.99,0,11,0
556,1,3,146.97,4,21,1
557,3,1,64.99,5,19,0
558,1,1,72.99,7,16,0
559,2,1,65.49,7,22,1
560,3,0,0,6,16,0
561,1,1,73.99,3,22,0
562,2,1,221.97,2,15,0
563,2,1,37.99,6,12,1
564,1,2,50.49,0,5,0
565,3,0,0,4,19,0
566,3,0,0,4,24,0
567,2,2,185.97,2,21,1
568,3,0,0,0,1,1
569,1,0,0,0,15,0
570,1,3,229.96,2,16,0
571,1,1,50.49,0,10,0
572,2,0,0,0,11,0
573,2,1,71.99,1,14,0
574,1,1,51.99,7,10,0
575,2,4,67.99,2,17,0
576,3,4,71.99,2,17,0
577,3,0,0,7,15,0
578,3,0,0,6,20,1
579,1,5,109.98,0,16,0
580,2,0,0,2,12,1
581,3,2,54.99,4,20,1
582,3,2,40.99,5,14,0
583,5,0,0,7,14,1
584,1,0,0,0,7,1
585,2,1,139.98,1,16,0
586,1,6,47.99,0,23,0
587,1,2,119.98,4,14,0
588,2,0,0,4,20,0
589,5,0,0,3,24,0
590,1,0,0,0,21,0
591,3,2,55.99,2,23,1
592,1,0,0,5,12,0
593,1,2,117.98,3,19,0
594,3,0,0,4,20,1
595,1,2,64.99,4,20,0
596,1,3,51.99,4,1,0
597,3,3,95.98,1,13,0
598,4,2,63.99,7,14,0
599,1,9,65.99,3,16,0
600,1,5,69.99,1,2,0
601,1,3,63.99,3,23,0
602,2,0,0,1,6,1
603,3,1,72.49,5,17,0
604,3,0,0,3,18,0
605,2,3,291.96,5,18,0
606,2,0,0,3,17,0
607,3,1,53.99,1,14,1
608,1,4,55.99,6,11,0
609,3,2,56.99,0,10,0
610,2,0,0,0,9,0
611,3,2,129.98,0,26,1
612,1,2,248.97,4,19,0
613,2,1,49.99,2,2,1
614,1,0,0,2,4,0
615,2,2,46.99,5,16,0
616,2,2,115.98,0,10,0
617,1,1,54.99,6,5,0
618,5,3,66.99,4,16,0
619,1,3,263.96,0,26,0
620,1,0,0,0,18,0
621,2,3,61.99,0,3,0
622,1,4,65.49,1,9,0
623,2,8,69.99,0,9,0
624,3,1,52.49,1,21,1
625,1,2,81.99,4,7,1
626,1,3,50.99,6,10,1
627,3,3,62.99,6,17,0
628,3,2,103.98,0,4,1
629,3,0,0,1,18,0
630,3,1,58.99,4,19,0
631,1,4,243.96,5,20,0
632,1,2,73.99,2,14,0
633,2,0,0,1,12,0
634,1,0,0,1,2,1
635,2,1,52.99,3,24,0
636,1,4,61.99,5,2,0
637,1,6,46.99,0,22,1
638,3,5,84.99,7,18,0
639,1,2,60.49,2,14,0
640,3,5,54.49,0,13,0
641,1,1,37.99,5,11,0
642,2,1,70.99,2,21,0
643,1,0,0,1,19,0
644,2,5,121.98,1,1,1
645,2,1,54.49,5,30,0
646,3,3,63.99,3,20,0
647,1,0,0,6,23,0
648,2,3,129.98,4,19,0
649,3,1,66.99,7,22,0
650,1,1,121.98,4,8,0
651,2,0,0,4,11,1
652,1,0,0,4,24,0
653,1,13,132.98,3,13,0
654,1,0,0,0,2,0
655,3,10,61.49,4,17,0
656,2,6,57.49,5,13,0
657,3,9,115.98,2,20,1
658,2,4,283.96,0,2,0
659,1,0,0,4,10,0
660,3,1,70.99,3,17,0
661,3,0,0,4,19,0
662,2,0,0,3,20,0
663,1,3,58.49,1,27,0
664,3,0,0,0,22,0
665,3,1,139.47,2,7,0
666,1,0,0,2,24,0
667,3,0,0,0,8,0
668,2,3,50.49,0,18,0
669,1,2,82.49,5,26,0
670,1,1,206.97,5,6,1
671,1,1,46.99,4,15,0
672,3,0,0,4,12,1
673,1,0,0,7,8,0
674,1,2,58.99,2,8,0
675,2,0,0,2,6,1
676,3,3,182.97,4,16,1
677,1,3,74.99,4,16,0
678,2,0,0,3,19,1
679,3,10,59.99,4,3,0
680,3,0,0,5,12,1
681,1,0,0,5,12,0
682,1,0,0,4,13,0
683,3,4,46.99,0,1,0
684,2,1,72.49,6,15,1
685,3,5,65.99,4,24,0
686,4,1,53.99,1,12,1
687,3,1,64.49,4,12,0
688,3,1,65.99,4,21,0
689,2,0,0,7,2,0
690,4,0,0,5,18,0
691,1,0,0,2,13,1
692,2,3,53.49,4,6,1
693,1,1,53.99,6,16,0
694,3,1,50.99,1,21,0
695,2,0,0,3,17,0
696,2,0,0,0,13,1
697,2,0,0,2,20,0
698,3,0,0,4,16,0
699,1,0,0,3,17,0
700,2,3,62.99,1,8,0
701,3,0,0,4,13,0
702,1,1,68.99,1,3,1
703,3,0,0,1,21,0
704,3,0,0,0,19,0
705,1,2,136.98,6,24,0
706,2,2,93.98,0,17,0
707,3,0,0,3,12,1
708,1,1,84.99,7,13,1
709,5,0,0,1,11,1
710,3,3,141.98,0,9,0
711,3,2,135.98,1,12,0
712,2,0,0,1,23,0
713,1,7,75.99,4,9,0
714,3,0,0,6,21,0
715,5,0,0,1,18,0
716,2,1,57.99,0,15,0
717,3,1,65.99,5,20,0
718,1,2,66.49,5,14,0
719,3,0,0,7,5,0
720,3,7,52.49,7,18,0
721,2,0,0,4,2,0
722,1,2,61.99,6,16,0
723,3,1,79.49,0,18,0
724,1,1,64.99,6,13,0
725,2,1,154.47,1,16,0
726,2,0,0,0,16,0
727,1,6,184.47,7,4,0
728,3,1,53.99,1,17,1
729,3,2,51.99,0,16,0
730,2,1,63.49,1,6,0
731,3,1,147.98,6,1,0
732,3,2,80.99,6,18,0
733,1,4,38.49,6,10,1
734,2,0,0,1,2,0
735,1,3,105.98,1,13,0
736,1,2,200.97,0,15,1
737,1,6,41.99,4,18,1
738,2,6,188.97,6,17,0
739,1,2,66.99,4,20,0
740,1,3,143.97,2,22,0
741,1,1,200.97,4,14,0
742,1,2,66.99,0,10,0
743,3,2,76.49,6,20,0
744,3,1,71.99,3,20,0
745,3,1,90.98,0,13,1
746,1,2,59.99,0,12,1
747,1,3,85.49,3,19,0
748,3,4,55.49,4,17,0
749,3,0,0,0,13,0
750,2,0,0,3,18,0
751,1,1,72.49,1,1,0
752,1,6,131.98,0,14,0
753,3,2,55.99,3,28,0
754,1,2,45.49,5,1,1
755,1,0,0,1,18,1
756,3,1,155.97,7,13,0
757,1,0,0,4,14,1
758,5,2,70.99,0,20,1
759,1,3,162.98,1,2,0
760,3,2,136.98,3,5,1
761,4,6,70.99,2,11,1
762,1,2,48.99,7,14,0
763,1,4,61.99,5,14,1
764,1,0,0,5,13,0
765,5,5,131.98,2,6,1
766,1,0,0,4,17,1
767,2,0,0,2,4,1
768,4,4,158.98,1,3,1
769,3,0,0,1,16,0
770,1,0,0,0,15,0
771,3,1,65.99,4,17,1
772,2,3,61.99,3,5,0
773,2,2,129.98,5,18,1
774,1,5,55.99,4,15,1
775,4,2,109.98,0,15,1
776,1,1,67.99,0,10,0
777,3,2,29.99,2,15,0
778,2,0,0,1,15,1
779,1,0,0,2,23,0
780,5,1,133.98,1,7,0
781,3,1,50.49,0,14,1
782,2,0,0,5,18,1
783,2,1,146.98,0,4,0
784,1,0,0,4,23,0
785,1,0,0,5,6,0
786,3,0,0,5,23,0
787,1,2,53.99,7,6,0
788,1,1,117.98,5,7,1
789,1,3,45.49,0,10,0
790,2,0,0,7,12,0
791,1,0,0,2,8,0
792,2,0,0,7,27,0
793,1,0,0,0,17,1
794,2,3,59.49,1,11,0
795,3,2,50.99,4,21,0
796,3,0,0,5,18,0
797,3,0,0,7,19,0
798,4,1,170.97,7,4,0
799,1,5,62.99,7,5,0
800,1,0,0,0,21,0
801,1,1,146.97,0,23,0
802,3,0,0,4,18,0
803,2,1,73.99,5,23,0
804,1,1,69.99,7,20,0
805,1,1,44.99,6,12,0
806,3,1,58.49,4,26,0
807,1,6,56.49,6,17,0
808,2,1,60.99,0,2,1
809,2,1,57.99,1,15,1
810,2,0,0,3,12,1
811,1,0,0,1,13,1
812,3,2,56.49,1,7,0
813,2,5,54.99,4,23,0
814,2,3,69.49,1,18,0
815,1,0,0,2,14,0
816,2,0,0,0,19,0
817,1,2,55.49,5,20,1
818,2,0,0,7,18,1
819,2,0,0,2,17,0
820,3,5,44.49,1,9,1
821,4,3,65.49,6,2,0
822,1,0,0,4,20,0
823,3,1,145.98,4,24,0
824,1,2,69.49,0,20,1
825,4,1,61.99,1,11,0
826,2,3,54.99,1,17,0
827,2,2,74.49,0,12,1
828,3,0,0,4,10,0
829,3,0,0,1,16,1
830,1,5,64.49,0,12,0
831,1,3,46.99,2,21,0
832,2,4,54.99,4,19,1
833,1,5,163.98,7,17,0
834,3,0,0,0,23,0
835,1,0,0,0,17,0
836,4,2,66.49,4,10,1
837,1,0,0,1,20,0
838,3,2,93.98,4,16,0
839,1,1,29.99,5,15,0
840,4,1,65.99,6,6,1
841,2,1,63.49,4,4,0
842,1,4,38.49,1,19,0
843,1,3,56.99,4,6,0
844,2,1,65.49,5,3,1
845,1,0,0,5,16,1
846,1,5,102.98,4,1,0
847,1,0,0,6,9,0
848,1,4,50.99,4,10,0
849,3,0,0,6,17,1
850,2,0,0,0,14,0
851,1,0,0,6,1,1
852,2,0,0,7,13,0
853,1,2,133.98,2,17,1
854,1,2,82.98,1,24,0
855,5,6,68.98,0,18,0
856,1,1,55.99,2,10,0
857,3,0,0,1,3,0
858,3,1,97.98,1,18,0
859,3,0,0,5,4,1
860,3,10,142.98,0,13,0
861,5,1,55.99,1,1,0
862,5,2,67.99,0,2,0
863,3,4,57.99,0,17,0
864,2,8,53.99,5,16,0
865,1,7,60.99,2,19,0
866,3,1,147.98,3,25,0
867,1,9,133.98,3,14,0
868,3,2,129.98,6,19,0
869,2,4,68.99,2,18,0
870,4,0,0,7,13,0
871,1,1,57.99,0,16,0
872,3,1,40.99,6,22,0
873,1,2,51.99,3,12,0
874,1,4,247.96,1,2,1
875,2,6,115.98,6,11,0
876,1,1,55.99,0,3,0
877,1,2,67.99,3,17,1
878,2,1,71.99,4,8,1
879,3,0,0,4,12,0
880,3,1,66.99,2,6,0
881,3,0,0,7,9,0
882,2,7,148.47,3,11,1
883,3,0,0,5,12,0
884,3,1,139.98,2,1,1
885,1,1,58.99,7,2,0
886,3,0,0,4,15,1
887,3,1,63.99,5,24,0
888,1,3,40.99,5,14,0
889,2,2,53.49,0,19,0
890,2,0,0,7,26,0
891,1,13,54.99,0,14,0
892,3,0,0,5,9,0
893,4,0,0,7,17,0
894,2,5,76.99,7,20,0
895,1,5,77.99,3,5,0
896,1,0,0,5,9,0
897,2,0,0,0,14,0
898,5,4,57.49,2,21,0
899,1,0,0,7,5,0
900,3,0,0,0,11,0
901,1,2,54.99,4,8,0
902,2,3,143.98,7,12,0
903,1,4,56.99,7,11,0
904,2,3,73.49,7,22,0
905,4,0,0,6,17,1
906,2,1,65.49,5,5,0
907,2,0,0,4,14,1
908,3,1,69.99,2,7,0
